isbn,list_referencetype,referenceid,pdf_name,author,title,journal,volume,issue,pages,year,url,booktitle,chapter,editor,publisher,placepublished,author_year
,Journal Article,DL00075_Jezierski,,"Jezierski, W.",Longevity and mortality rate in a population of Wild Boar,Acta Theriologica,22,24,337--348,1977,http://dx.doi.org/10.4098/at.arch.77-31,,,,,,Jezierski_1977
,Journal Article,DL00080_Tryon,,"Tyron, C. A.; Snyder, D. P.","Biology of the Eastern Chipmunk, Tamias striatus: Life tables, age distributions and trends in population numbers",Journal of Mammology,54,1,145--168,1973,http://dx.doi.org/10.2307/1378877,,,,,,Tyron_1973
,Journal Article,DL00087_Wolfe,,"Wolfe, M. L.",Mortality patterns in the Isle Royale Moose population,American Midland Naturalist,97,2,267--279,1977,http://dx.doi.org/10.2307/2425093,,,,,,Wolfe_1977
,Book Section,DL00088_Packer,,"Packer,C. Herbst, L.; Pusey, A. E.; Bygott, J. D.; Hanby, J. P.; Cairns, S. J.; Bornhoff Mulder, M.",Reproductive success of lions,,,,363--383,1988,http://dx.doi.org/10.1038/282839a0,Reproductive success,23,"Clutton-Brock, T. H.",The University of Chicago Press,,Packer_1988
,Journal Article,DL00091_Kelly,,"Kelly, M. J.; Laurenson, M. K.; FitzGibbon, C. D.; Collins, D. A.; Durant, S. M.; Frame, G. W.; Bertram, B. C. R.; Caro, T. M.",Demography of the Serengeti Cheetah (Acinonyx jubatus) Population: the first 25 years,Journal of Zoology,244,4,473--488,1998,http://dx.doi.org/10.1017/s0952836998004014,,,,,,Kelly_1998
,Journal Article,DL00092_Comfort,,"Comfort, A.",Survival curves of some birds in the London Zoo,Ibis,104,1,115--117,1962,http://dx.doi.org/10.1111/j.1474-919x.1962.tb08636.x,,,,,,Comfort_1962
,Journal Article,DL00093_Comfort,,"Comfort, A.",Survival curves of mammals in captivity,Proceedings of the zoological Society London,128,3,349--364,1957,http://dx.doi.org/10.1111/j.1096-3642.1957.tb00329.x,,,,,,Comfort_1957
,Journal Article,DL00094_Fox,,"Fox, G. A.; Kendall, B. E.; Fitzpatrick, J. W.; Woolfenden, G. E.",Consequences of heterogeneity in survival probability in a population of Florida Scrub-jays,Journal of Animal Ecology,75,4,921--927,2006,http://dx.doi.org/10.1111/j.1365-2656.2006.01110.x,,,,,,Fox_2006
,Journal Article,DL00101_Comfort,,"Comfort, A.",Longevity and mortality in dogs of four breeds,The Journals of Gerontology,15,2,126--129,1960,http://dx.doi.org/10.1093/geronj/15.2.126,,,,,,Comfort_1960
,Journal Article,DL00104_Egenvall,,"Egenvall, A.; Bonnett, B. N.; Shoukri, M.; Olson, P.; Hedhammar, A.; Dohoo, I.",Age pattern of mortality in eight breeds of insured dogs in Sweden,Preventive Veterinary Medicine,46,1,1--14,2000,http://dx.doi.org/10.1016/s0167-5877(00)00135-5,,,,,,Egenvall_2000
,Journal Article,DL00105_Comfort,,"Comfort, A.",Longevity and mortality of Irish Wolfhounds,Proceedings of the Zoological Society London,127,1,27--34,1956,http://dx.doi.org/10.1111/j.1096-3642.1956.tb00458.x,,,,,,Comfort_1956
,Journal Article,DL00106_Albert,,"Albert, R. E.; Benjamin, S. A.; Shukla, R.",Life span and cancer mortality in the Beagle Dog and Humans,Mechanisms of Ageing & Development,74,3,149--159,1994,http://dx.doi.org/10.1016/0047-6374(94)90086-8,,,,,,Albert_1994
,Journal Article,DL00108_Proschowsky,,"Proschowsky, H. F.; Rugbjerg, H.; Ersboll, A. K.",Mortality of purebred and mixed-breed dogs in Denmark,Preventive Veterinary Medicine,58,1,63--74,2003,http://dx.doi.org/10.1016/s0167-5877(03)00010-2,,,,,,Proschowsky_2003
,Journal Article,DL00109_Mech,,"Mech, L. D.",Estimated age structure of Wolves in northeastern Minnesota,The Journal of Wildlife Management,70,5,1481--1483,2006,http://dx.doi.org/10.2193/0022-541x(2006)70[1481:easowi]2.0.co;2,,,,,,Mech_2006
,Journal Article,DL00111_Akhmedow,,"Akhmedov, E. G.; Magomedov, M. R. D.",Formation of the demographic structure in Daghestan Tur (Capra cylindricornis) population [Russian],Zoologichesky Zhurnal,79,4,461--470,2000,http://dx.doi.org/10.1007/978-3-662-06820-5_14,,,,,,Akhmedov_2000
,Journal Article,DL00113_Andersen,,"Andersen, J.",Analysis of a Danish Roe Deer population (Caproelus caproelus (L.)) based upon the extermination of the total stock,Danish review of game biology,2,,127--155,1953,http://dx.doi.org/10.1016/0140-6701(95)96985-l,,,,,,Andersen_1953
,Journal Article,DL00114_Loison,,"Loison, A.; Festa-Bianchet, M.; Gaillard, J. M.; Jorgenson, J. T.; Jullien, J. M.",Age-Specific survival in five populations of ungulates: evidence of senescence,Ecology,80,8,2539--2554,1999,http://dx.doi.org/10.2307/177239,,,,,,Loison_1999
,Journal Article,DL00115_Gaillard,,"Gaillard, J. M.; Viallefont, A.; Loison, A.; Festa-Bianchet, M.",Assessing senescence patterns in populations of large mammals,Animal Biodiversity and Conservation,27,1,47--58,2004,http://dx.doi.org/10.2307/177239,,,,,,Gaillard_2004
,Journal Article,DL00117_Farner,,"Farner, D. S.",Age groups and longevity in the American Robin.,Wilson Bulletin Ann Arbor,57,,56--74,1945,http://dx.doi.org/10.2307/4509873,,,,,,Farner_1945
,Journal Article,DL00118_Lack,,"Lack, D.",The age of some more british birds,British Birds,36,11,193--197,1943,http://dx.doi.org/10.1007/978-1-4612-5138-5_19,,,,,,Lack_1943
,Journal Article,DL00120_Tokida,,"Tokida, K.; Miura, S.","Mortality and life table of a Japanese Serow (Capricornis crispus) population in Iwate prefecture, Japan",Journal of the Mammalogical Society of Japan,13,2,119--126,1988,http://dx.doi.org/10.1007/978-94-011-8030-6_26,,,,,,Tokida_1988
,Journal Article,DL00121_Larson,,"Larson, J. S.",Age structure and sexual maturity within a western Maryland Beaver (Castor canadensis) population,Journal of Mammalogy,48,3,408--413,1967,http://dx.doi.org/10.2307/1377773,,,,,,Larson_1967
,Journal Article,DL00124_Doligez,,"Doligez, B.; Thomson, D. L.; van Noordwijk, A.",Using large-scale data analysis to assess life history and behavioural traits: the case of the reintroduced White Stork Ciconia ciconia population in the Netherlands,Animal Biodiversity and Conservation,27,1,387--402,2007,http://dx.doi.org/10.1163/9789004278134_021,,,,,,Doligez_2007
,Journal Article,DL00125_Marzoline,,"Marzolin, G.",Polygynie du Cincle plongeur (Cinclus cinclus) dans les cotes de Lorraine,Oiseau et la Revue Francaise d'Ornithologie,58,4,277--286,1988,http://dx.doi.org/10.5040/9781472927019.0217,,,,,,Marzolin_1988
,Conference Proceedings,DL00126_Pucek,,"Pucek, Z.; Ryuszkowski, L.; Zejda, J.","Estimation of average length of life in the Bank Vole, Clethrionomys glareolus (Schreiber, 1780)",,,,187--201,1971,http://dx.doi.org/10.4098/at.arch.67-16,Energy flow through small mammal populations,,"Petrusewicz, K.; Ryuszkowski, L.","Societas Biologica Fennica Vanamo, Helsinki, Finland","Warsaw, Poland",Pucek_1971
,Journal Article,DL00131_Skoudlin,,"Skouldin, J.",Age structure of Czechoslovak populations of Erinaceus europaeus and Erinaceus concolor (Insectivora: Erinaceidae),Vestnik Ceskoslovenske Spolecnosti Zoologicke,45,4,307--313,1981,http://dx.doi.org/10.5962/bhl.part.117741,,,,,,Skouldin_1981
0003-1488,Journal Article,DL00135_Doria-Rose,,"Doria-Rose, V. P.; Scarlett, J. M.",Mortality rates and causes of death among emaciated cats,Journal of the American Veterinary Medical Association,216,3,347--351,2000,http://dx.doi.org/10.2460/javma.2000.216.347,,,,,,Doria-Rose_2000
,Journal Article,DL00141_Sherman,,"Sherman, P. W.; Jarvis, J. U. M.",Extraordinary life spans of Naked Mole-rats (Heterocephalus glaber),Journal of Zoology,258,3,307--311,2002,http://dx.doi.org/10.1017/s0952836902001437,,,,,,Sherman_2002
,Journal Article,DL00147_Paynter,,"Paynter Jr., R. A.",The fate of banded Kent Island Herring Gulls,Bird Banding,18,4,156--170,1947,http://dx.doi.org/10.2307/4509986,,,,,,Paynter_1947
,Journal Article,DL00148_Rattiste,,"Rattiste, K.; Lilleleht, V.",Population ecology of the Common Gull Larus canus in Estonia,Ornis Fennica,64,1,25--26,1987,http://dx.doi.org/10.1038/sj.hdy.6881890,,,,,,Rattiste_1987
,Journal Article,DL00149_Shibata,,"Shibata, Y.; Yamamoto, T.",A study on the population dynamics of Lepus timidus ainu Barrett-Hamilton (I) -Age distribution and life table,Bulletin of the Forestry & Forest Products Research Institute,309,,13--21,1980,http://dx.doi.org/10.3834/uij.1944-5784.2012.02.06t2,,,,,,Shibata_1980
,Journal Article,DL00153_Casey,,"Casey, G. A.; Webster, W. A.","Age and sex determination of Striped Skunks (Mephitis mephitis) from Ontario, Manitoba, and Quebec",Canadian Journal of Zoology,53,3,223--226,1975,http://dx.doi.org/10.1139/z75-027,,,,,,Casey_1975
,Book,DL00154_Verts,,"Verts, B. J.",The biology of the Striped Skunk,,,,119--120,1967,http://dx.doi.org/10.2307/1294351,,,,University of Illinois Press,"Urbana, Illinois",Verts_1967
,Journal Article,DL00155_Leslie,,"Leslie, P. H.; Ranson, R. M.","The mortality, fertility and rate of natural increase of the Vole (Microtus agrestis) as observed in the laboratory",Journal of Animal Ecology,9,1,27--52,1940,http://dx.doi.org/10.2307/1425,,,,,,Leslie_1940
,Journal Article,DL00157_Leslie,,"Leslie, P. H.; Tener, T. S.; Vizoso, M.; Chitty, H.","The longevity and fertility of the Orkney Vole, Microtus orcadensis, as observed in the laboratory",Proceedings of the Zoological Society London,125,1,115--125,1955,http://dx.doi.org/10.1111/j.1096-3642.1955.tb00595.x,,,,,,Leslie_1955
,Journal Article,DL00166_Woolf,,"Woolf, A.; Harder, J. D.",Population dynamics of a captive White-tailed Deer herd with emphasis on reproduction and mortality,Wildlife Monographs,67,,3--53,1979,http://dx.doi.org/10.2307/3808032,,,,,,Woolf_1979
,Journal Article,DL00167_Taber,,"Taber, R. D.; Dasmann, R. F.",The dynamics of three natural populations of the deer Odocoileus hemionus columbianus,Ecology,38,2,233--246,1957,http://dx.doi.org/10.2307/1931682,,,,,,Taber_1957
,Journal Article,DL00169_Caughley,,"Caughley, G.","Eruption of ungulate populations, with emphasis on Himalayan Thar in New-Zealand",Ecology,51,1,53--72,1970,http://dx.doi.org/10.2307/1933599,,,,,,Caughley_1970
,Journal Article,DL00170_Hickey,,"Hickey, F.",Death and reproductive rates of sheep in relation to flock culling and selection,New Zealand Journal of Agricultural Research,3,2,332--344,1960,http://dx.doi.org/10.1080/00288233.1960.10418088,,,,,,Hickey_1960
,Journal Article,DL00175_Woodgerd,,"Woodgerd, W.",Population dynamics of Bighorn Sheep on Wildhorse Island,The Journal of Wildlife Management,28,2,381--391,1964,http://dx.doi.org/10.2307/3798103,,,,,,Woodgerd_1964
,Book,DL00176_Murie,,"Murie, A.",The Wolves of Mount McKinley,,5,,1--238,1944,http://dx.doi.org/10.2307/1375039,Fauna of the National Parks of the US,,,,Washington,Murie_1944
,Book Section,DL00179_Nishida,,"Nishida, T.; Takasaki, H.; Takahata, Y.",Demography and reproductive profiles,,,,63--97,1990,http://dx.doi.org/10.2307/2061577,The Chimpanzees of the Mahale Mountains: Sexual and life history strategies,3,"Nishida, T.",University of Tokyo,Tokyo,Nishida_1990
